Rute ID,APR Profil,Week Profil,Transportform (profile > profile),problem_type,Type,Antal enheder (len(R_original)),Number,Significant Outliers,Length Org,Length Opt,Contribution Margin (Org),Contribution Margin (Opt),Revenue (Org),Revenue (Opt),Cost (Org),Cost (Opt),Set of Significant Outliers
37000301,SE Omdeler,Gns. Oms,foot,TSP,Type 1,88,"19, 28, 29, 30, 31, 32, 73",7,7609.899999999999,4586.499999999998,110.11196000000001,238.11960000000005,525.6500000000002,488.5900000000002,415.48999999999995,250.41,"[19, 28, 29, 30, 31, 32, 73]"
37000301,SE Omdeler,Gns. Oms,foot,TSP,Type 2,88,"8, 9, 10, 11, 19, 31, 32",7,7093.8,4220.3,138.29101999999995,257.20161999999993,525.6500000000001,487.6700000000001,387.3,230.40999999999997,"[8, 9, 10, 11, 19, 31, 32]"
37000301,SE Omdeler,U36,foot,TSP,Type 1,88,"8, 19, 32, 73",4,7609.899999999999,4872.999999999998,123.23946000000007,249.28420000000023,538.7400000000004,515.3500000000004,415.48999999999995,266.06000000000006,"[8, 19, 32, 73]"
37000301,SE Omdeler,U36,foot,TSP,Type 2,88,"8, 9, 10, 11, 19, 32",6,7093.8,4503.4,151.41852,260.6843600000001,538.7400000000002,506.57000000000005,387.3,245.86999999999995,"[8, 9, 10, 11, 19, 32]"
37000301,SE Omdeler,U37,foot,TSP,Type 1,88,"8, 9, 10, 11, 19, 73",6,7609.899999999999,4583.999999999999,19.569460000000106,155.20360000000005,435.07,405.49,415.48999999999995,250.28000000000003,"[8, 9, 10, 11, 19, 73]"
37000301,SE Omdeler,U37,foot,TSP,Type 2,88,"8, 9, 10, 11, 19, 31, 32",7,7093.8,4220.3,47.74852000000004,171.84161999999998,435.07,402.27000000000004,387.3,230.40999999999997,"[8, 9, 10, 11, 19, 31, 32]"
37000301,SE Omdeler,U38,foot,TSP,Type 1,88,"19, 28, 29, 30, 31, 32, 73",7,7609.899999999999,4586.499999999998,94.56946000000005,224.1171000000001,510.07000000000005,474.5400000000001,415.48999999999995,250.41,"[19, 28, 29, 30, 31, 32, 73]"
37000301,SE Omdeler,U38,foot,TSP,Type 2,88,"8, 9, 10, 11, 19, 31, 32",7,7093.8,4220.3,122.74851999999998,243.10162000000003,510.0700000000001,473.53000000000003,387.3,230.40999999999997,"[8, 9, 10, 11, 19, 31, 32]"
37000301,SE Omdeler,U39,foot,TSP,Type 1,88,"8, 19, 32, 73",4,7609.899999999999,4872.999999999998,203.06946,325.0242,618.5699999999999,591.0900000000001,415.48999999999995,266.06000000000006,"[8, 19, 32, 73]"
37000301,SE Omdeler,U39,foot,TSP,Type 2,88,"8, 9, 10, 11, 19, 32",6,7093.8,4503.4,231.24851999999993,337.07436000000007,618.57,582.96,387.3,245.86999999999995,"[8, 9, 10, 11, 19, 32]"
37000301,U18 Omdeler,Gns. Oms,foot,TSP,Type 1,88,"19, 32, 73, 74",4,7609.899999999999,5106.399999999998,372.729609,405.08992400000005,525.6500000000002,507.7200000000002,152.8599999999999,102.55999999999997,"[19, 32, 73, 74]"
37000301,U18 Omdeler,Gns. Oms,foot,TSP,Type 2,88,"19, 73",2,7093.8,4942.700000000001,383.0980579999999,412.37615700000003,525.6500000000001,511.7100000000001,142.47999999999993,99.26999999999997,"[19, 73]"
37000301,U18 Omdeler,U36,foot,TSP,Type 1,88,"19, 32, 73, 74",4,7609.899999999999,5106.399999999998,385.85710900000004,418.91242400000016,538.7400000000004,521.5000000000003,152.8599999999999,102.55999999999997,"[19, 32, 73, 74]"
37000301,U18 Omdeler,U36,foot,TSP,Type 2,88,"19, 73",2,7093.8,4942.700000000001,396.225558,425.21115700000007,538.7400000000002,524.5100000000001,142.47999999999993,99.26999999999997,"[19, 73]"
